Unnamed: 0,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
487,dream-0221-triplet-5,0,What does 'return it' cause?,"Is there anything else that you would like to buy? No, thank you. I guess that's it. By the way, in case there's a flaw in this CD player. Can I return it? Yes. But you must return it within 30 days. Is there a charge for that?I know other stores have a restocking fee. There will be no charge at all. I'm glad to hear that. However,you must show us the receipt. Could you sign it here, please? OK. All right. Keep your receipt. If something comes up. you can show it to us and We'll give you a refund. Thanks. I'll put it in a safe place. ",What does 'return it' cause?,gen,show us the receipt,buy,"No, thank you",give you a refund,3
541,dream-0240-triplet-1,0,What happens after 'borrow your notes'?,"Maggie, can I borrow your notes for history? I'll return them tomorrow. Sorry, but I usually go to the cafeteria and review them. Why not copy them in the library? OK. Here you are. You are a great help, Maggie. I don't quite understand a why you need my notes, Mark? You haven't missed any classes. To be honest, I work in supermarket from 7 to 10 o'clock every evening. I see. So you're pretty tired when you come to class. That's exactly why I want to borrow your notes. My notes aren't very good. So what do you usually do in class? I'm always awake at the beginning, but thirty minutes after class begins I feel sleepy and have trouble keeping my eyes open. Well, I need someone to study with and you need someone to keep you awake. Can we be study partners? Oh sure. That's a good idea. So give me a push when you see me sleeping in class. OK. Let's start today in the library. We are going there anyway and I don't have to go to the cafeteria. Sounds good. ",What happens after 'borrow your notes'?,gen,going there anyway,missed any classes,return them tomorrow,notes aren't very good,2
3809,dream-0882-triplet-6,0,What does 'dark the whole time' cause?,"Wow, I had no idea it was going to be so sunny here! I thought Alaska was supposed to be cold. Well, it is pretty cold for much of the year. But during the summer, it's just as warm as it is in states like Washington and Oregon. Interesting. The days are really long right now. I don't think the sun has been down for more than a few hours the whole time I've been here. Yeah, that's another interesting thing about the summers here. We're so far north that we're exposed to the sun for almost the entire day. In winter, the opposite is true. You mean it's dark the whole time? Well, not the whole time... but maybe for two-thirds of every day from December to February. Whoa! How do you make it through every year? As a California native, I wouldn't be able to handle that for more than one season! I guess I'm used to it. When I was a kid, it was pretty fun to play with flashlights and have campfires outside in the afternoon. I never noticed that life was worse because it was always dark. ",What does 'dark the whole time' cause?,gen,the sun has been down,play with flashlights,wouldn't be able to handle that,not the whole time,1
3028,dream-0315-triplet-3,0,Which goal motivates the act/action 'bring your wife'?,"Well, I'm afraid my cooking isn't to your taste. Actually, I like it very much. I'm glad you enjoy it. Let me serve you some more fish. No, thank you. I've had enough fish, but I'd like some soup. Here it is. Help yourself! Thanks. I didn't know you were so good at cooking. If only my wife could learn to cook from you. Why not bring your wife next time? I haven't seen her for quite a while. OK, I will. She will be very glad to see you, too. Thank you for the wonderful meal. ",Which goal motivates the act/action 'bring your wife'?,gen,serve you some more fish,haven't seen her,learn to cook from you,bring your wife,2
3779,dream-0877-triplet-4,0,What is implied by 'door was locked'?,"Good morning, Mr. Jacob. Is everything all tight? No, it's not. Someone's stolen some of my valuables two rings and a gold necklace. I'm very sorry to hear that, sir. Where were they? In my room. And the door was locked. It can only be one of your staff. I want my things back. And fast. Well, I can certainly understand that you're upset about losing them and we'll do all we can to help. If they really are missing,it's a matter for the police. What do you mean, if they are missing? I told you they were. Yes, Sir. But first I'll have one of the housekeeping staff look through your room in case they're still there. But I must say that we can't be held responsible. You should have deposited the valuables with Reception. It says so on the Key Card. That's not good enough. I want to see the manager immediately. I'll be glad to call the duty manager for you, sir. But he'll certainly say the same. We have clear instructions about valuables and we must follow them. ",What is implied by 'door was locked'?,gen,not good enough,want my things back,It can only be one of your staff,the door was locked,2
1109,mutual-0295-triplet-2,0,What does 'talking on your mobile phone' cause?,"oh , i 'm terribly sorry , sir . i did n't see you stop . well , that was probably because you were talking on your mobile phone . sir , i , ah , do n't know what you 're talking about . i was just looking out the window . young lady , i saw you in my mirror . you had the phone up to your ear the whole time . no , i was just doing my hair . ",What does 'talking on your mobile phone' cause?,gen,did n't see you stop,had the phone up to your ear,do n't know what you 're talking about,terribly sorry,0
2380,mutual-1088-triplet-2,0,What is 'answering phones and typing documents' obstructed by?,"hi , can i help you ? yes , i saw your ad in today 's newspaper . it says that you need to hire an assistant . can you tell me some information about the job ? ok. well , we manage a very busy agency . the assistant will help by answering phones and typing documents . the problem is that you 'll have to concentrate in a noisy environment . can you handle that ? yes , i have worked for busy organizations before . and how fast can you type ? i type 60 words per minute . great . feel free to come down and pick up an application from me . if we hire you , your position will be temporary for the first three months . qualified",What is 'answering phones and typing documents' obstructed by?,gen,qualified,ad,concentrate in a noisy environment,"hire you , your position will be temporary",2
3607,dream-0836-triplet-4,0,What is 'see someone like his grandfather' obstructed by?,"Do you know Tom? Tom what? Tom Smith. No. But I know a Tim Smith. Oh, yes, you are right. It was Tim Smith I meant. You know what happened to him the other day? No, what happened then? Well, he told me he saw his dead grandfather in London. Oh, come on. You are not telling a ghost story, are you? But he told me it was true. You see, his grandfather used to be an army officer during the war. And because he didn't return home after the war, everybody thought he had been killed in the war. But then, he suddenly appeared alive, like in those films. Exactly. Tom, oh no, Tim, told me that by chance he saw an old man at the railway station selling newspapers. And he was surprised to see someone like his grandfather in a picture he had seen. So naturally he went to the man and asked him whether his name was Smith. And the man, I mean, his grandfather, said yes, and after that everything happened just like a film. Amazing. But why didn't the old man go back to his hometown after the war? Well, that's another long story. I'll tell you later. ",What is 'see someone like his grandfather' obstructed by?,gen,what?,an old man at the railway station selling newspapers,everybody thought he had been killed in the war,used to be an army officer during the war,2
3321,dream-0413-triplet-3,0,What is implied by 'stay with them a lot'?,"Are you quite independent of your parents now? Yes. As soon as I left school, I... my studies as a nurse. I stopped asking my parents for money since I got financial support from the government. But I still stay with them a lot. You're staying ... very close to your parents? I am. They never forced me to do anything I didn't want to do. What about you? Well, I am also fond of my family. But I don't always get on very well with them. They try to control me too much. But they allowed you to come to study in England on your own. Yes, but, only after a lot of persuasion. Your parents treat you as an adult. Mine treat me as a child. ",What is implied by 'stay with them a lot'?,gen,I am.,don't always get on very well with them,try to control me too much,staying ... very close to your parents,3
447,dream-0197-triplet-3,0,Which goal motivates the act/action 'need a summer job'?,"I need a summer job that will give me some exercise. How about being a life guard? Life guards don't swim that much. They usually just sit. Well then, you could be a swimming coach, or a tour guide. Tour guide is a good idea. I'd walk all day. ",Which goal motivates the act/action 'need a summer job'?,gen,give me some exercise,being a life guard,usually just sit,swim,0
1524,daily-dialogue-0148-triplet-13,0,What is 'pick me up' obstructed by?,"Belinda , I ’ m going to a party tonight . What shall I wear ? Is it formal or informal ? I guess it ’ s formal . Then , you should dress well . That ’ s right . I think a white shirt with a blue tie looks nice on you . You are smart . Of course , the sports shoes don ’ t go with the formal occasions . You are right . What kind of shoes should I wear ? The brown leather shoes go well with your trousers . Good idea . Oh , by the way , would you please pick me up after the party , honey ? It ’ ll be too late ; you ’ d better take a taxi . OK . formal party go home",What is 'pick me up' obstructed by?,gen,too late,pick me up after the party,go home,formal,0
2077,mutual-0008-triplet-9,0,What is 'work while in college' obstructed by?,"adam , do you want to work while in college ? no . i think working is totally unnecessary . besides , i have too many classes to go to and there are clubs , sports and after school activities . what about you ? i think totally differently . free time",What is 'work while in college' obstructed by?,gen,what about you,sports,working is totally unnecessary,work,1
953,dream-0605-triplet-9,0,Which goal motivates the act/action 'work in the cafe'?,"Hi, Kevin. How is it going? Ah, not so great. What's wrong? I've got a big problem with the Shakespeare course which is required for my major. Is that all filled up? No, there's plenty of room, but I have to take the starter course before I can take Professor Miller's Shakespeare course. It is only offered in the evening. You don't like evening classes? That's not the point. I work in the cafe every evening. I need the money to pay my tuition. You can ask someone that could switch hours with you. Maybe just switch a couple of evenings since the course probably only meets two times a week. I wish I could. My boss just did me a favor by putting me on evenings. And he'll hit the ceiling if I ask to change again. Wait a minute. I have an idea. Have you checked the course over at the community college? They might offer an introductory course during the day. That's a great idea. I'm free this afternoon. I'll go over and check it out. Their courses are actually cheaper. Thanks for your advice. I'll let you know what happens. Sure. Good luck! attend the course in evening",Which goal motivates the act/action 'work in the cafe'?,gen,pay my tuition,offered in the evening,idea,not so great,0
3113,dream-0348-triplet-2,0,What does 'had the originals' cause?,"When did you become interested in collecting stamps? Oh, when I was about ten years old. Ten years old? So you have loved it for 9 years. Yeah, it's really an exciting hobby. You know, the first postage stamps were issued in Britain in 1840. Really? I didn't know that. What's on the first postage stamps? Well, look, here's a picture of the first two stamps issued. Oh, they both bear a picture of Queen Victoria, don't they? Yes, I wish I had the originals, then I would be a wealthy man instead of a poor stamp collector. But I believe collecting stamps gives you much pleasure which not all wealthy men can enjoy. Yes, I do agree. ",What does 'had the originals' cause?,gen,be a wealthy man,loved it for 9 years,gives you much pleasure,Really,0
3197,dream-0364-triplet-1,0,What is 'come to dinner' obstructed by?,"Would you come to dinner next Sunday? Sunday? No, I'm sorry. I'm busy on Sunday. How about Saturday? Yes, I'd love to. What time? How about 7:00? OK. Do you know where I live? Sorry, I have no idea. I'm on No. 1125, Beijing Road. I think I can find it. Anything I should bring along? Oh, just bring yourself. We'll get everything ready. Thank you for your kindness. I'll see you then. Thanks. Goodbye. ",What is 'come to dinner' obstructed by?,gen,bring,Saturday,bring yourself,busy,3
3332,dream-0418-triplet-7,0,Where is 'doctor' located?,"Bob, do you know who I saw the other day? Old Jake, looking terribly depressed. Did he get pensioned off at last? Yes. They made him retire after 50 years at sea. He is pretty upset about it, but what can you do? He really is pasted. He is all alone, isn't he? Yes, his wife has been dead for years. They had one daughter, Dories. But she went off to town as soon as she left school. And he hasn't heard from her since. I hear she is making good money as a model. Maybe someone could get in touch with her. Get her to come back for a while to help? I don't suppose she come. She never got on with her father. He is bit of a tough character and she is rather selfish. Oh, I expect old Jake will get by. He is healthy at least, comes into a clinic for a check regularly. Are you his doctor? No, my partner doctor Johnson is. That bad-tempered old thing? Oh, he isn't really bad-tempered. He just looks it. He is an excellent doctor, taught me a lot, and he has a very nice family. His wife invites me over there to supper every week. Very pleasant. Yes. I teach their daughter Pen at school. She is a bit careless and lazy about her school work, but a bright little thing and very popular with her age group. ",Where is 'doctor' located?,gen,supper,don,town,clinic,3
994,dream-0606-triplet-26,0,What does 'offto the gym' cause?,"Hi, Laura. Where are you heading with that big bag? I'm offto the gym. I've got to stay in shape, you know. I know more women who exercise than men. What's the main reason you do that? For your health, or to look good? To be honest, for both. With women, good looks are always a very important consideration. I see. How about you? Do you get any regular exercise? I do a lot of walking for exercise and enjoyment-sometimes ten to twenty kilometers at a time-but I never go to the gym like you do. Well, walking is a good exercise. How about sports? Not since my school days. I used to love playing baseball, but it's impossible to get enough people together for a game now. Mostly I just watch sports on TV I play tennis fairly regularly with my friends and sometimes go swimming and cycling by myself. Oh, I forgot about that. I go cycling sometimes too. And I often go swimming on vacation, but only recreational swimming. Why don't you join me at the gym sometime? Well, maybe someday, but I'm pretty lazy about things like that. carry water and towel to the gym do exercise together",What does 'offto the gym' cause?,gen,I forgot about that,sports,health,offto the gym,2
1994,dream-0056-triplet-7,0,Where is 'post office' located?,"Excuse me, could you tell me where the post office is? Post office? It's not far from here. Do you know Xinhua Road? I'm from the United States and this is my first trip to your city. I know nothing about the city. Oh, welcome to our city, I'll show you the road. Please follow me. Thanks, by the way, where can I buy a map of the city? Just at the gate of the post office. Look, the post office is just across the street. Thank you very much. Good-bye. Good-bye. does not know the road",Where is 'post office' located?,gen,Xinhua Road,bye,across the street,map of the city,2
2683,dream-0113-triplet-3,0,What prerequisite does 'pick you up' have?,"Hello, Amy. Are you coming to my birthday party? Yes, I am. How do I get to your house from the station? Well, call me when you get to the station and I'll come and pick you up in my car. Are you sure it won't be too much trouble? It's no trouble at all. It only takes about 15 minutes. Oh, I want to check your phone number. Is it 828816887? No. It's 81881688. Oh, really? I'm glad I checked. What time do you plan to arrive at the station? I plan to get there around 8:30. OK. See you then. See you. Goodbye. ",What prerequisite does 'pick you up' have?,gen,trouble,no trouble,81881688,call me,3
3504,dream-0817-triplet-6,0,What is 'choose part-time jobs' obstructed by?,"We would be interested in having you join us, Mrs. Sharp. Thank you. I have done this knid of work before. I know, and that's probably the reason you've been employed. Do you prefer part-time or full-time employment? Part-time. OK. Some people choose part-time jobs because they want to do something else besides work, such as reading novels or playing sports. But they will not get any other benefits besides the wages. I don't care about that. May I ask you if I can decide the hours I would work? I can only give you the choice from 7:00 a.m. till noon or from noon till 5:00 p.m. Then I'd prefer to work in the morning because I have to prepare dinner for my children. OK, Mrs. Sharp. Just sign your name on this sheet of paper. You may start next week. Mrs. Clarkson has got something ready for you--a blackboard, some chalk, and a tape recorder. She'll show you around later. Thank you. ",What is 'choose part-time jobs' obstructed by?,gen,interested in having you join us,part-time jobs,-time,will not get any other benefits besides the wages,3
2408,mutual-1123-triplet-1,0,What does 'my parents bought a new flat in town' cause?,"hi , james . i have n't seen you for ages . i went past your house last week . i was going to knock at your door and say hello . well , it 's lucky you did n't . my parents bought a new flat in town , so we 're there now . ",What does 'my parents bought a new flat in town' cause?,gen,went past your house,have n't seen you for ages,lucky you did n't,james,1
567,dream-0243-triplet-6,0,What is 'go to the Children's Center' obstructed by?,"Mary, would you go to the Children's Center with us this Sunday afternoon? Well, I'd like to, but Mum asked me to see her nephew Tom at No. 1 People's Hospital. It doesn't matter. What's wrong with Tom? Does he have a bad cold or have a headache? I was told that he hurt himself in the left left during the football game. I'm sorry to hear that. How long has he been in the hospital? Three days. He was sent to the hospital as soon as his leg was hurt. admitted to hospital",What is 'go to the Children's Center' obstructed by?,gen,asked me to see her nephew,go to the Children's Center,leg was hurt,have a bad cold,0
3950,dream-0491-triplet-2,0,What does 'problems' cause?,"Good morning, I'm one of the students who rented your flat. It's 55 Park Road. Oh, yes. Everything all right? Not exactly. I'm afraid there are a couple of problems. Oh! I'm sorry to hear that. What kind of problems? Well, we haven't had any hot water for a couple of days now. I wonder if you could send someone to have a look at it. Of course. I'll get someone to come around at the weekend. Well, could he come around a bit sooner? I don't think we can manage until the weekend. I see. Okay. I'll send someone over this afternoon then. There's also the matter of the fridge. We all assumed there would be one in the flat when we moved in, because that's what we read from the advertisement in the newspaper. Ah, yes. Sorry about that. I got rid of the old fridge, but I didn't get around to ordering a new one yet. I'm really sorry. I'll order one today and get it delivered to you tomorrow. We bought one on the Internet actually. But could you pay us back? Of course. Just tell me how much you paid for it. It's 260 pounds. Thank you. ",What does 'problems' cause?,gen,don't think we can manage,send someone over,got rid of the old fridge,sorry,3
780,dream-0572-triplet-8,0,What is 'swimming' obstructed by?,"Hey, Karen, it looks like you've got some sun this weekend. Yeah, I guess so. I spent the weekend at the beach. Oh, yeah, that's great. Where did you stay? Some friends of my parents' live out there and they invited me for as long as I wanted to stay. So what are you doing back here already? Oh, I have a paper to work on, and I just couldn't do any serious studying at the beach. I don't blame you. So what did you do out there? I mean besides lying out in the sun. I ran slowly up and down the beach, and 1 played some volleyball. You know I never realized how hard it is to run on sand. I couldn't even get through a whole game before I had to sit down. Did you go swimming? I wanted to, but they said the water isn't warm enough for that until a couple of months from now. It all sounds nice. I wish I could get away to the beach like that. coming back home moderately warm water",What is 'swimming' obstructed by?,gen,couldn't do any serious studying at the beach,what did you do,invited me for as long as I wanted to stay,water isn't warm enough,3
713,dream-0274-triplet-4,0,"Where is 'wallet, two keys, and a letter' located?","Please, please, can you help me? I seem to have lost my handbag. Calm down, Madam. Well, I'll have to fill out this report for you. What color is it, Madam? Well, it is a white one. How big is it? Mm, I guess it's about one foot long and seven inches tall. One foot long and seven inches tall. What's in the bag, Madam? There is a wallet, two keys, and a letter. And where did you leave it? I am sure I left it in the coffee shop on the 5th floor. Don't worry, Madam. I am sure we can find it. Now could you give me your name, your address and telephone number? being tensed report the lost item return the lost item when found","Where is 'wallet, two keys, and a letter' located?",gen,bag,handbag,fill out this report,wallet,0
1966,dream-0047-triplet-10,0,What does 'a very big performance' cause?,"Do you want to go for a picinc with me tomorrow? I'd like to. How about asking Jenny to go with us? Oh, no. She is busy with her dancing class. You know, there is a very big performance in just a week. Yes, you're right. It is really not good for her to learn dancing. Her leg hasn't completely recovered from that accident. But she doesn't think so. She is crazy about dancing. Will you take your camera with you tomorrow? I want to, but I lent it to Tom yesterday. Do you have one? No, but I know Mary has got one. Let's go and ask her if she'd like to join us. OK. not free prepare for the performance",What does 'a very big performance' cause?,gen,prepare for the performance,ask her,a very big performance in just a week,crazy about dancing,0
3517,dream-0820-triplet-5,0,What property does 'laughing' have?,"We've all heard the saying 'Laughter is the best medicine.' How important is it to our health, Dr. Berk? This saying has been scientifically proven! A year-long study of heart attack victims done at the Oakhurst Health Research Institute in California found that of those patients who spent half an hour a day watching comedy videos, 10 percent had a second heart attack, whereas 30 percent of those who did not watch had a second attack. Wow! Laughter is really a good medicine to patients. Can you give us another example? Sure! Norman Cousins, editor of the Saturday Review, learned this during a battle with an illness. He discovered that his condition improved when he enjoyed himself and watched funny movies. You said Norman learned this? Do we have to learn to laugh? Not necessarily. Since laughing is something people can do sitting down, costs no money, and requires no special exercise equipment or skill, it's the perfect workout for anyone who doesn't have the time or desire to participate in a regular fitness program. Oh. Do you have such a program to offer to the general public? Yes, we do. It's called the Smile Time-Out. You take a deep breath, smile, exhale, and say 'Aaah' while visualizing all your muscles and cells smiling. Then add to that a memory of a time you felt really good and laughed and laughed. What about the situation in which you aren't in a mood to laugh? Even when you fake a smile or laugh, you get the same physiological benefits as when it's the real thing, because your mind is smart, but your body is stupid and can't tell the difference! ",What property does 'laughing' have?,gen,felt really good,important,costs no money,scientifically proven,2
929,dream-0602-triplet-13,0,What is 'camping' used for?,"Hi, Jim. I haven't seen you for a few weeks. Oh, hi, Mary. I have been studying a lot for my final exam. Well, this semester is about over now. Yeah. My brother is coming for a visit this summer, and we'd like to see some of the country, but traveling is so expensive. Have you thought about camping? Camping? I've never done that. I think you'll really like it. You can rent the equipment you need. Is it cheap? Yeah, much cheaper than buying or staying at the hotel. Good idea. Here is my bus. I'll talk to you about this again and get all the details. got to leave now stay at home save money",What is 'camping' used for?,gen,see some of the country,rent the equipment,haven't seen you,save money,0
1753,daily-dialogue-1006-triplet-2,0,What is 'latte'?,"Good morning , madam . What can I do for you ? I want some coffee . Certainly , madam . What kind of coffee do you want to have ? What have you got ? Well . We have espresso , latte , skinny latte , fancy coffee and Americano . I think I'll have a latte , please . OK . Wait a minute , please . And the sugar is right over there . ",What is 'latte'?,gen,Well,Good morning,coffee,latte,2
3519,dream-0820-triplet-7,0,What is 'laughing'?,"We've all heard the saying 'Laughter is the best medicine.' How important is it to our health, Dr. Berk? This saying has been scientifically proven! A year-long study of heart attack victims done at the Oakhurst Health Research Institute in California found that of those patients who spent half an hour a day watching comedy videos, 10 percent had a second heart attack, whereas 30 percent of those who did not watch had a second attack. Wow! Laughter is really a good medicine to patients. Can you give us another example? Sure! Norman Cousins, editor of the Saturday Review, learned this during a battle with an illness. He discovered that his condition improved when he enjoyed himself and watched funny movies. You said Norman learned this? Do we have to learn to laugh? Not necessarily. Since laughing is something people can do sitting down, costs no money, and requires no special exercise equipment or skill, it's the perfect workout for anyone who doesn't have the time or desire to participate in a regular fitness program. Oh. Do you have such a program to offer to the general public? Yes, we do. It's called the Smile Time-Out. You take a deep breath, smile, exhale, and say 'Aaah' while visualizing all your muscles and cells smiling. Then add to that a memory of a time you felt really good and laughed and laughed. What about the situation in which you aren't in a mood to laugh? Even when you fake a smile or laugh, you get the same physiological benefits as when it's the real thing, because your mind is smart, but your body is stupid and can't tell the difference! ",What is 'laughing'?,gen,workout,illness,learn to laugh,funny movies,0
4083,dream-0522-triplet-3,0,What desire is caused by 'small reception'?,"Hello, Happy Time Catering Services, Vitoria speaking. How can I help you? Hello, Victoria. This is Joe Smith from country holidays. I wondered if you could do some catering for us next week, we are having a small reception. It's to launch our summer holiday advertising campaign. Will you be free? When exactly is it? Mr. Smith? April 21st, that's Thursday. Oh, sorry, no. It should be Friday. Oh, yes I can do that where will you be holding it? We thought we'd have that at head office and use the conference room, because there is enough room for everyone there. Ok. What sort of things would you like? Just a light lunch I think, so that people can eat while they move around and talk to each other. You did some thing similar for us last year. We'd be happy to have the same menu again. Right. I'll look at my diary and see what you had last time. Oh, I nearly forgot to ask you how many should I cater for? Well, I think most people will be able to come, perhaps around 30. No, let's say 35, to be sure. Right, thank you for getting in touch, Mr. Smith. I'll send you confirmation of the arrangements by the end of this week. Ok. ",What desire is caused by 'small reception'?,gen,launch our summer holiday advertising campaign,how many should I cater for,do some catering,confirmation of the arrangements,2
2151,mutual-0034-triplet-3,0,What does 'once a week' cause?,"anna just email to say that the managers meeting is put off till next monday . will you have everything ready by then , sabrina ? hey sabrina , what 's wrong ? i 'm so worried . i have n't heard from my sister for 2 weeks . how often do you call each other ? normally at least once a week . but she 's now a volunteer teacher in a mountain village in africa . i can only write her . ",What does 'once a week' cause?,gen,have n't heard from my sister for 2 weeks,managers meeting is put off,so worried,what 's wrong,2
1455,daily-dialogue-0125-triplet-7,0,What is 'more squid balls'?,"Are you still hungry , Ryan ? How about some more squid balls ? Squid balls ? How about some more fruit ! Wow ! You really like fruit , huh ? You've already had 3 plates ! Yeah , it's funny . I usually don't ever eat fruit ... Well , whatever suits your fancy . I'll press the service button again . Already ate a lot of fruits. order more food.",What is 'more squid balls'?,gen,service,fruits,order more food,fruit,2
584,dream-0247-triplet-2,0,What is 'a pen' obstructed by?,"May I help you? Yes, my nephew Jim is graduating from college next week and I'd like to get him a nice gift. What price are you interested in? We'll need toknow that before we begin looking. Well. I usually spend about twenty do Ham for a gift. Do you have anything nice for that price? How about a pen? No, my brother gave him that for his bithday last year. Well, then would he enjoy a chess set? No, he doesn't like chess very much, but he is quite athletic. Then you could get him a tennis racket. That's a good idea. I'll take it. price range",What is 'a pen' obstructed by?,gen,my brother,my brother gave him that for his bithday last year,graduating from college,How about a pen,1
3543,dream-0826-triplet-5,0,What does 'drove inside' cause?,"Did you hear what Fred did last night? No,not yet. What happened to him? I guess he was a little drunk and he had a fight with his brother. Well, he got so mad that he drove his car straight into the front of a drugstore. What do you mean? I mean he drove inside. The front of the store was completely destroyed. I actually saw it just now as I walked by. The car is still inside the store. I'm afraid Fred is in trouble. Where is he now? I hear he's in the police station. It's lucky no one was hurt. ",What does 'drove inside' cause?,gen,in the police station,had a fight,The car is still inside the store,last night,0
