,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
2689,dream-0114-triplet-2,0,"What prerequisite does 'watch a film' have?","Hello, Jim. Where are you going? To the cinema. What about coming with me? No, thanks. I'm going home. My friend's expecting me. What a pity! I believe it's a very good film. Do you go to the cinema a lot? Once a week. Most nights I sit at home and watch TV. Oh, I see. By the way, where are you going for your holidays this year? I don't know yet. My wife's going to her mother's for a couple of weeks. She lives by the sea, you know. Oh, does she? That's convenient. Yes, but I want to go to the country. Don't you like the sea? Yes, very much. But I need peace and quiet when I'm on holiday. watch a film",has prerequisite,gen,"lives by the sea","holidays","To the cinema","watch a film",2
3501,dream-0817-triplet-3,0,"Which goal motivates the act/action 'choose part-time jobs'?","We would be interested in having you join us, Mrs. Sharp. Thank you. I have done this knid of work before. I know, and that's probably the reason you've been employed. Do you prefer part-time or full-time employment? Part-time. OK. Some people choose part-time jobs because they want to do something else besides work, such as reading novels or playing sports. But they will not get any other benefits besides the wages. I don't care about that. May I ask you if I can decide the hours I would work? I can only give you the choice from 7:00 a.m. till noon or from noon till 5:00 p.m. Then I'd prefer to work in the morning because I have to prepare dinner for my children. OK, Mrs. Sharp. Just sign your name on this sheet of paper. You may start next week. Mrs. Clarkson has got something ready for you--a blackboard, some chalk, and a tape recorder. She'll show you around later. Thank you. ",motivated by goal,gen,"knid of work","want to do something else besides work","prepare dinner for my children","sign your name",1
14,daily-dialogue-1008-triplet-1,0,"What property does 'remittance' have?","Good morning , may I help you ? Good morning . I want to remit 1,000 yuan to my sister in Shanghai . Please fill out this form . OK ... Do I need to put on my sister's name for the receiver ? Yes . You must put on her name and address . OK , I see . Here you are . Is that OK now ? Let me check . Yes . Your 1,000 remittance , please . Here you are . What is the rate ? This rate is one percent . That will be 10 yuan . OK . When will this remittance arrive ? Generally it will arrive within three days . That's good . receiver's name and address",has property,gen,"fill out this form","I","address","rate",3
3505,dream-0817-triplet-7,0,"Which goal motivates the act/action 'work in the morning'?","We would be interested in having you join us, Mrs. Sharp. Thank you. I have done this knid of work before. I know, and that's probably the reason you've been employed. Do you prefer part-time or full-time employment? Part-time. OK. Some people choose part-time jobs because they want to do something else besides work, such as reading novels or playing sports. But they will not get any other benefits besides the wages. I don't care about that. May I ask you if I can decide the hours I would work? I can only give you the choice from 7:00 a.m. till noon or from noon till 5:00 p.m. Then I'd prefer to work in the morning because I have to prepare dinner for my children. OK, Mrs. Sharp. Just sign your name on this sheet of paper. You may start next week. Mrs. Clarkson has got something ready for you--a blackboard, some chalk, and a tape recorder. She'll show you around later. Thank you. ",motivated by goal,gen,"knid of work","decide the hours","OK,","prepare dinner",3
2168,mutual-0049-triplet-1,0,"What prerequisite does 'long trip' have?","are you comfortable ? it 's a long trip . so i 've brought snacks and pillows and books to read . i 'm fine , thanks . i 'm just so excited about this trip . i ca n't wait to see grandma again . i ca n't wait to eat dumplings spring festival does n't come often enough . ",has prerequisite,gen,"excited","grandma again","comfortable","a long trip",2
3143,dream-0353-triplet-6,0,"What does 'caught a bad cold' cause?","Where is Jimmy? Why hasn't he come down for breakfast? Needn't he go to school today? He's still in bed in his room. What's the matter with our dear son? He's feeling terrible. I think he must have caught a bad cold. Well, we must call the doctor. Yes. Can you remember the doctor's telephone number'? Yes. It's 7546 2811. ",causes,gen,"call the doctor","bad cold","He's still in bed","matter",2
2723,dream-0118-triplet-2,0,"What prerequisite does 'Check in' have?","Hello, Macy Agency. Good morning. I'd like to book a return ticket from London to Paris on Monday, July 14th, please. Yes, Madam. We have a flight at 14: 30, Is that suitable? Oh, that's fine. And how much will that cost, please? The price is $ 420 for the return flight. Good. Which airport does the flight leave from? It leaves from Heathrow Airport. Check in time is one hour before departure. My name is Susan Smith. Can I pick up the ticket tomorrow morning? Sure, we'll have it ready soon, so come whenever you like after that. Thank you. You are welcome. ",has prerequisite,gen,"pick up the ticket","ticket","Check in time","welcome",0
3427,dream-0804-triplet-7,0,"Which goal motivates the act/action 'try again'?","Can I help you? Yes, I'd like to read some articles that are on reserve about British culture. Professor Grand's class? That's right. How could you know? Let's just say you are not the first person coming in asking for those articles. Oh, well, seeing as how I haven't read any of them yet, it doesn't really matterwhich one you give me first. I'm afraid I can't give you any of them at the moment. They've all been checked out. You're joking, all of them? Every month. I've asked professor Grand twice already to bring in additional copies of the articles, but no sooner do I place them on the shelves than they are gone. See that girl in the black sweater? She's been waiting for half an hour for those same articles to be returned. And here's me. I went out of my way to free out the whole afternoon to read. I'm sorry, but there is not a whole lot I can do about it. All I can suggest is that you come in first thing tomorrow morning and try again. We open at eight. ",motivated by goal,gen,"not a whole lot I can do about it","You're joking","returned","read some articles",3
17,daily-dialogue-1008-triplet-4,0,"When does 'remittance' happen?","Good morning , may I help you ? Good morning . I want to remit 1,000 yuan to my sister in Shanghai . Please fill out this form . OK ... Do I need to put on my sister's name for the receiver ? Yes . You must put on her name and address . OK , I see . Here you are . Is that OK now ? Let me check . Yes . Your 1,000 remittance , please . Here you are . What is the rate ? This rate is one percent . That will be 10 yuan . OK . When will this remittance arrive ? Generally it will arrive within three days . That's good . receiver's name and address",happens in,gen,"Good morning","put on my sister's name","that OK now","within three days",3
3342,dream-0426-triplet-6,0,"What is implied by 'don't need to share a room'?","Can you believe that we've finally found a house? Good for you. Tell me about the house! It doesn't look good outside. but it is lovely inside. How nice! How many bedrooms does it have? Well, it has three bedrooms, two bathrooms, one big sitting room and a modern kitchen. Then your two boys don't need to share a room. They are happy with it? Yeah, they can have their own rooms. What interests me most is the small garden before the house. You know I love gardening so much. ",implies,gen,"happy","we've finally found a house","can have their own rooms","Good for you",2
1994,dream-0056-triplet-7,0,"Where is 'post office' located?","Excuse me, could you tell me where the post office is? Post office? It's not far from here. Do you know Xinhua Road? I'm from the United States and this is my first trip to your city. I know nothing about the city. Oh, welcome to our city, I'll show you the road. Please follow me. Thanks, by the way, where can I buy a map of the city? Just at the gate of the post office. Look, the post office is just across the street. Thank you very much. Good-bye. Good-bye. does not know the road",at location,gen,"Xinhua Road","bye","across the street","follow me",2
4041,dream-0498-triplet-12,0,"When does 'first group will leave' happen?","Good morning, this is Ann broadcasting from university radio and in the studio we have Robin, president of the Martha Bicycle Club with us. Good morning, everyone. Robin, can you tell us what the mountain lake cycle tour is all about? Well, Ann, the tour today is not a race. People do it for fitness and fun andtry to better their time every year. How long will it take to cycle one way, Robin? About seven to nine hours for the average cyclists. Good cyclists can do it in four hours. How many people will be taking part this year? This is our biggest year ever. We have twelve hundred cyclists registered. I doubt they'll block the road when the cyclists start out? Don't worry, we've introduced the staggered starts to avoid these problems. Our first group will leave Ottawa at seven o'clock. Thank you, Robin. Now down to the starting line of the university. ",happens in,gen,"cyclists start out","seven o'clock","in four hours","mountain lake cycle tour",1
1171,daily-dialogue-0010-triplet-1,0,"What does 'It ’ s been so long I actually forgot' cause?","Accounting , this is Mike . Mike , this is Leo in Sales . I was just calling to confirm our meeting tomorrow.Are we still on ? Goodness ! It ’ s been so long I actually forgot . Let me see ... yes , it is on my calendar . OK . See you at your office at 2:30 . Right , see you then ! ",causes,gen,"confirm our meeting tomorrow","it is on my calendar","Goodness","office",2
241,daily-dialogue-1164-triplet-6,0,"What desire is caused by 'some people decided to loot'?","Have you seen the news today ? Not yet . What happened ? Did you know there was a blackout last night ? Yes , I heard the lights were out all night . Well , some people decided to loot last night . I don't understand . They took advantage of the blackout . They really started looting ? Yes , apparently four stores were broken into . Did the looters get caught ? There was no evidence of who did it . Hopefully we won't have any more blackouts . not get caught",causes desire,gen,"stores","seen the news","looters get caught","blackouts",2
1581,daily-dialogue-0173-triplet-1,0,"What is 'Cds' used for?","Can I borrow your Cds for our school dance ? Oh , you don't ask much , do you ? I promise I will personally guard every single one and they will come back in perfect condition . I'll tell you what . Your class can rent them from me for the night and buy back any damaged ones . That sounds fair . That's still cheaper than paying a band to come play for us . Not as fun though . A live band is way more exciting ! Our class doesn't have enough money . We already checked into it . Let me know with your next dance . I know a band that may give you a break for the publicity . music need money",used for,gen,"music","buy back any damaged ones","give you a break","guard",0
1137,daily-dialogue-0002-triplet-4,0,"What does 'ankle' cause?","( Bob groans . ) What's the matter.Bob ? I think it's my ankle . What happened ? One of my snowshoes got caught on a rock . Can you stand ? I don't think so.It ' s kind of sore . We'll have to get you to a hospital for an X-ray . Is that really necessary ? It may be worse than it seems . How's it feel ? About the same . Someone will be out to take a look any minute now . Should we be here , Alice ? I don't think it's that serious . Of course ! It's the sort of thing a hospital emergency ward is for . Will we have to wait much longer ? I hope not.It isn't that busy . ",causes,gen,"get you to a hospital for an X-ray","ankle","I don't think so","that serious",2
3022,dream-0313-triplet-3,0,"Which goal motivates the act/action 'fill in this form'?","Welcome to Youth Hotel, can I help you? I'd like a room for a night. Would you like a single room, a double room or a room for three? Oh, a single room please. Can I pay by check? Sure, fill in this form please. Need my student card number? No, just your address and telephone number. OK, here is the form. Very well. Here is your key to room 212. Thank you! Have a good stay! ",motivated by goal,gen,"fill in this form","Thank you","help","pay by check",3
2755,dream-0126-triplet-1,0,"What desire is caused by 'saw your advertisement'?","Hello, School of English Studies. Hello, I saw your advertisement in the newspaper. Can you give me some information, please? Yes, of course. What would you like to know? Well, first, how long are the courses? They are 6 or 9 months long and the next course begins next Monday. How many students will there be in the class? Not too many, I hope. Usually, there are 15. We find that a good number. OK. Now, I saw the price of the course in the newspaper, but will I have to pay for anything else? Only for the textbook, which costs twelve pounds ninety-nine. I see. When can I come and pay? Well, the school is open from 8 am to 7 pm Monday to Friday and on Saturdays from 9 am to 1 pm. OK. I see. Well, thank you very much. Goodbye. ",causes desire,gen,"school","give me some information","Not","textbook",1
4013,dream-0496-triplet-17,0,"What is 'feeling a bit under the weather' the social norm for?","Good morning, Mrs. Wong. How are you? I haven't seen you around the building for the last couple of weeks. Is everything alright? Morning, Mr. Jones. No, I haven't been out much recently. I've been feeling a bit under the weather. I'm sorry to hear that. I hope you don't mind me saying, but you don't look very well. Your face is very pale. Perhaps you need some fresh air to bring the color back to your cheeks. It's a lovely day outside today. That's just what I thought. I'm going to go for a walk in the park and then pop into the supermarket. You look as if you've lost weight as well. I haven't been eating like I usually do. Usually, I love my food, but these last two weeks I just haven't felt cooking and I've eaten very little. Most unlike me. Have you been to the doctor? What did she say? I didn't bother going to the doctor. It's nothing serious. You never know. If you've been feeling like this for two weeks, it's worth getting a check-up just to be sure. ",social rule,gen,"getting a check-up","haven't been out","Good morning","Morning",0
1283,daily-dialogue-0066-triplet-3,0,"What is 'embroidered tablecloths' used for?","Are you being served , sir ? I'd like to buy a tapestry to decorate my new room . Artistic tapestry is the highest expression form of the rug weaving art . How about these ones ? These are beautiful ! Is this the marvelous landscape in Guiling ? Yes , sir . How fine the needlework is ! What's the price ? Ninety dollars . It's too expensive . But considering the fine craftsmanship it is worth much more . You're right . Would you please show me some embroidery ? I also want to buy some embroidered tablecloths to match the tapestry . Please wait a minute , sir . ",used for,gen,"served","decorate my new room","price","?",1
289,daily-dialogue-1182-triplet-7,0,"What is 'room key' used for?","Hello ! Do you have a place where I can exercise ? Yes , sir . We have a fine exercise facility . I'm happy to hear that . Now , would you tell me where it is ? You're actually standing above it . Just take the elevator or stairs down one level . Is the hotel going to charge me a dollar a minute for gym use ? No , sir . There's no extra charge . All you need is your room key to open the door . And the gym hours are ? Sir , you'll be pleased to know that our gym never closes . One more question , Do you have a trainer ? We might be getting one in the near future . But at the present time , no . ",used for,gen,"no extra charge","open the door","Hello !","gym hours",1
2486,mutual-1172-triplet-1,0,"What is implied by 'part-time job'?","hi , mike . hi , where do you work , linda ? i work at thomas cook travel . i take people on tours to countries in south america . what do you do , mike ? i am a student , but i have a part-time job in a restaurant . ",implies,gen,"what do you do","hi , mike","i am a student","cook travel",2
1695,daily-dialogue-0425-triplet-3,0,"What prerequisite does 'car start' have?","Dear , can you drive me to the clinic ? I'm afraid I can't . Why ? Well , my car won't start . I don't know what's the matter with it . Could it be the battery ? No , I don't think it could be . I checked the battery two days ago . It must be other problems . Well , I suppose it could be the gas . No , there is plenty of gas . I filled it up yesterday . Perhaps it's the starter then ? Yes , that's possible . car start",has prerequisite,gen,"gas","it could be","possible","other problems",0
437,dream-0195-triplet-1,0,"What does 'headache' cause?","I keep feeling dizzy, and I've got a headache. How long has this been going on? It started yesterday. You've been studying too much recently. I have no other choice. Next month will be the most important exam of this term. I can understand that. But anyway, you should take better care of yourself. What should I do now? I think you should stay in bed for a little while and I will call the doctor. It's very kind of you. Thank you very much. do well in the exam",causes,gen,"do well in the exam","Thank you","feeling dizzy","stay in bed",2
508,dream-0225-triplet-7,0,"What does 'chocolates are better received then flowers as present in birthdays' cause?","It's Alice's birthday tomorrow. Are you sure? I think it should be the day after tomorrow. Well, let me see. Oh, I'm sorry. You're right. It is the day after tomorrow. Shall we buy her a present? Yes, of course. Shall we give her some flowers? Flowers are lovely. But I think it's better to buy her a nice box of chocolates. Alice doesn't like sweet things. Didn't you know that? You're right. Er ... I know. We can give her a record. She loves music. That's a good idea. Let's go to the music shop and choose one for her. chocolates are better received then flowers as present in birthdays ",causes,gen,"I know","day after tomorrow","Flowers are lovely. But I think it's better to buy her a nice box of chocolates","loves music",2
1376,daily-dialogue-0091-triplet-1,0,"What does 'watch the news' cause?","Are you going to vote ? Yes , are you ? Yeah , but what day are the elections ? You don ’ t know what day the elections are ? That ’ s why I ’ m asking you . They ’ re this coming Tuesday . Really ? Yes , I ’ m serious . Good thing you told me . I can ’ t believe you didn ’ t know when the elections were . It slipped my mind . You should watch the news more often . ",causes,gen,"Tuesday","know when the elections","serious","Really",1
2778,dream-0130-triplet-3,0,"Which goal motivates the act/action 'visiting'?","Hello, glad to see you. Come in, please. Thanks. It looks like the party is exciting and all are in high spirits. My brother, Tom is visiting me for the weekend. Where is he? He is sitting in the corner over there, and beside the yound woman. And who is the yound woman? Uh, the woman wearing a red coat. Oh, that's Ann, my piano teacher. Piano teacher! I never knew you were practicing the piano. ",motivated by goal,gen,"Where is he","who is the yound woman","piano teacher","party",3
159,daily-dialogue-1088-triplet-2,0,"What property does 'opera' have?","Harry , do you like the opera ? No , not really . Why is that ? It is called real art . Well , it's very expensive and they're usually singing in another language . That kind of gets on my nerves . Yeah , that makes sense . don't like opera",has property,gen,"singing in another language","real art","that","nerves",0
1210,daily-dialogue-0018-triplet-9,0,"Which goal motivates the act/action 'outdoor exercise'?","Ahh ... What a fine day ! I do feel like an outdoor exercise . How about taking a walk in the park ? OK . It's delightful to have a walk in the park with the air so fresh . Oh , it's so quiet here . We have the park to ourselves , only you and me ! Don't you see many people over there ? Just on your left . Oh , I see them . Some are doing Taijiquan , some are performing swordplay , some are practising the Chinese Wushu . A growing keep-fit fever is sweeping over China . ",motivated by goal,gen,"outdoor exercise","What a fine day","have the park to ourselves","keep-fit",3
1254,daily-dialogue-0047-triplet-3,0,"What is 'fish'?","Are there pets allowed in this apartment ? No dogs or cats or any other fur type animal , but other pets are allowed . What about a boa constrictor ? Well . . . is that a pet ? Isn't that something from the zoo ? If I had one , could I rent this apartment ? I was more thinking of nice little fish or frogs or turtles or a pet rock . What about a Gila monster ? I'll tell you what , if your pet can fit in this little box and doesn't have fur , it is welcome here . ",is a,gen,"boa constrictor","Well","pets","rent this apartment",2
419,daily-dialogue-1260-triplet-6,0,"What desire is caused by 'car has broken down'?","Hello , Steven . Can you do me a favor ? Sure . What is it ? My car has broken down . You should telephone the garage for help . I have done it . But now I have an urgent appointment to keep . Could you drive me to the subway station ? With pleasure . Get in . Thanks a lot ! fix broken car reach subway station catch train from subway station",causes desire,gen,"do me a favor","telephone the garage for help","it","drive me to the subway station",3
3937,dream-0488-triplet-9,0,"What property does 'family hotel' have?","Good evening, sir, ma'am. A table for two? No, thank you. But we have a small problem. Can you help us? Sure. We are looking for a hotel. Are there any hotels near here? Yes. The nearest one is next to the bank. It's quite modern. Do you think there're any cheap ones nearby? Yes. Drive west for about two minutes and you will find one opposite to a supermarket. It's a family hotel, very comfortable, and the price is quite reasonable. It sounds nice. Thank you very much for your help. That's all right. ",has property,gen,"evening","small problem","price is quite reasonable","hotels",2
3953,dream-0491-triplet-5,0,"What desire is caused by 'haven't had any hot water'?","Good morning, I'm one of the students who rented your flat. It's 55 Park Road. Oh, yes. Everything all right? Not exactly. I'm afraid there are a couple of problems. Oh! I'm sorry to hear that. What kind of problems? Well, we haven't had any hot water for a couple of days now. I wonder if you could send someone to have a look at it. Of course. I'll get someone to come around at the weekend. Well, could he come around a bit sooner? I don't think we can manage until the weekend. I see. Okay. I'll send someone over this afternoon then. There's also the matter of the fridge. We all assumed there would be one in the flat when we moved in, because that's what we read from the advertisement in the newspaper. Ah, yes. Sorry about that. I got rid of the old fridge, but I didn't get around to ordering a new one yet. I'm really sorry. I'll order one today and get it delivered to you tomorrow. We bought one on the Internet actually. But could you pay us back? Of course. Just tell me how much you paid for it. It's 260 pounds. Thank you. ",causes desire,gen,"get someone to come around at the weekend","hot water","ordering a new one","order one today and get it delivered to you tomorrow",0
2788,dream-0137-triplet-4,0,"What desire is caused by 'late'?","Hello. This is Amy. Hello, Amy. This is Tom. Yes. What can I do for you? I want to go to New York by train today. Would you please look up a train time for me? Certainly, Hold on, please. Um... there's one at eleven p. m. It's a little late. Why don't you go there by car? My car is being repaired now. I have to go there by train. Do you think you have enough time? Yes. I'll try it. Thank you. Bye. ",causes desire,gen,"go there by car","please","I'll try it","a little late",0
2474,mutual-1158-triplet-3,0,"What does 'go to a basketball match' cause?","hi , mark ! have you finished the math yet ? yeah , it was really difficult . well , i 've got 2 free tickets for the muse concert . i wonder if you want to go this saturday . oh yeah ! what time does it start ? it starts at 8:00 so i 'll call for you around 7:00 . could we make it a little later ? i 'll go to a basketball match at 3:00 and i wo n't be back till just before 7:00 . ",causes,gen,"it was really difficult","call for you","i wo n't be back till just before 7:00","oh yeah",2
355,daily-dialogue-1208-triplet-6,0,"When does 'cable hasn't been working' happen?","Hello , I am calling about my cable service . What's the problem ? For the past week my cable hasn't been working . I apologize , but the cable has been down lately . Do you know when it is going to start working again ? Give it a couple days , and it should be back on . Will I still have to pay for the cable while it's not working ? Since it's not working , I'm going to give you a credit . So I don't have to pay anything ? You won't pay anything until your cable starts working again . Okay , thank you very much for your help . No problem . Thank you for being so understanding . ",happens in,gen,"understanding","help","past week","it's not working",2
533,dream-0237-triplet-3,0,"What desire is caused by 'He must be injured'?","Look. Jack! That man fell off the ladder. Come and help! He must be injured. He's not moving. Shall we take him to the hospital? We mustn't move him. Leave him where he is. We must get help. I'll go to that phone box and call the First Aid Center. Right. I'll stay here with him. How is he now? He's still not moving, but he's breathing. His head must be hurt. The First Aid Center says they are coming soon. Let's wait until help comes. Look, there they come! ",causes desire,gen,"First Aid Center says they are coming soon","must be injured","Look","Come and help",3
2103,mutual-0013-triplet-5,0,"Which goal motivates the act/action 'some shopping'?","ah , vera , it 's great that you 've come with me during our lunch break to do some shopping . i need to buy a suit to go to a wedding . and i have to look very smart . i will make sure of that , rob . everybody says i have good taste . i 've always chosen my husband 's and my son 's clothes . rob , i love that gray suit in the window . wow , it looks really smart actually . but i like black best . ",motivated by goal,gen,"i like black best","buy a suit","do some shopping","chosen my husband 's and my son 's clothes",1
3764,dream-0875-triplet-2,0,"What desire is caused by 'apply for admission to the engineering college'?","Good morning, Lucy. Can I help you? Good morning, sir. I'd like to talk with you about my studies for a minute, if I may. Certainly, come in and have a seat. Thank you. I have a record of my studies for last year. Would you like to see it? Yes, let me see now. You are studying mathematics, aren't you?. Yes, I am. But I'd like to apply for admission to the engineering college next year. I see. Have you asked your parents for their advice about this? Yes, I have. They think it is a good idea. Well, your record here has been very good. I don't think you will have much trouble. I hope not. Anyway, I am going to apply. And I'd like to ask you to write a recommendation for me, if it is not too much trouble. No trouble at all. I'd be glad to do it. Is there anything else? No, sir. I think that is all. Thank you very much. All right, Lucy. Good luck to you. Thank you, Good-bye. ",causes desire,gen,"I hope not","No","talk with you about my studies","that",2
564,dream-0243-triplet-3,0,"What does 'headache' cause?","Mary, would you go to the Children's Center with us this Sunday afternoon? Well, I'd like to, but Mum asked me to see her nephew Tom at No. 1 People's Hospital. It doesn't matter. What's wrong with Tom? Does he have a bad cold or have a headache? I was told that he hurt himself in the left left during the football game. I'm sorry to hear that. How long has he been in the hospital? Three days. He was sent to the hospital as soon as his leg was hurt. admitted to hospital",causes,gen,"headache","admitted to hospital","Mum asked me to see her nephew","Hospital",1
3006,dream-0309-triplet-4,0,"What desire is caused by 'going to rain'?","We're having a picnic tomorrow. Why don't you come with us? I'd like to, but I think it's going to rain. The weatherman says so. I don't think he is right. It hasn't rained for a week and it isn't cloudy, either. But he is usually correct in his weather news. The temperature is 32t this afternoon. I'm sure we'll have fine weather for our picnic. Well, I'll go, but I'll take my umbrella with me. ",causes desire,gen,"come","temperature is 32t","take my umbrella","don't think he is right",2
1830,dream-0015-triplet-7,0,"What does 'less crowded' cause?","Are you free on the weekend? I haven't got any plans yet, why? There is an exhibition of Chinese paintings at the public library. Would you like to go with me? I'd love to, but when? How about Saturday morning? It's cooler in the morning and maybe less crowded. I'm afraid I can not get up early on weekends. I'd prefer Saturday afternoon. Believe me there won't be too many people. So, shall we meet at 2:00, Saturday afternoon? OK, that would be great. I'll be waiting for you at my home. ",causes,gen,"waiting for you","exhibition of Chinese paintings","Saturday morning","prefer Saturday afternoon",2
